From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points,Competition
Austria,Spain,19,20,20,3,11,15,15,0,0,2016Grand
Austria,Latvia,18,24,19,22,13,21,18,0,0,2016Grand
Austria,Ukraine,15,15,16,13,23,16,2,0,10,2016Grand
Austria,Malta,11,2,2,2,1,2,25,10,0,2016Grand
Austria,Georgia,25,23,15,14,17,20,21,0,0,2016Grand
Austria,United Kingdom,7,22,22,21,14,18,22,0,0,2016Grand
Austria,Armenia,4,4,18,15,12,9,12,2,0,2016Grand
Azerbaijan,Belgium,17,11,23,23,23,22,16,0,0,2016Grand
Azerbaijan,Czech Republic,10,23,14,18,10,16,20,0,0,2016Grand
Azerbaijan,The Netherlands,4,14,21,11,16,13,19,0,0,2016Grand
Azerbaijan,Hungary,3,22,8,6,3,7,4,4,7,2016Grand
Azerbaijan,Italy,13,21,19,19,21,21,13,0,0,2016Grand
Azerbaijan,Israel,6,6,4,7,20,8,5,3,6,2016Grand
Azerbaijan,Bulgaria,7,2,6,5,9,3,3,8,8,2016Grand
Azerbaijan,Sweden,23,16,18,16,17,20,12,0,0,2016Grand
Azerbaijan,Germany,20,19,17,24,22,23,22,0,0,2016Grand
Azerbaijan,France,12,9,5,20,18,12,7,0,4,2016Grand
Azerbaijan,Poland,14,4,11,10,6,9,8,2,3,2016Grand
Azerbaijan,Australia,11,7,3,8,5,4,9,7,2,2016Grand
Azerbaijan,Cyprus,16,20,22,12,19,19,17,0,0,2016Grand
Azerbaijan,Serbia,21,15,10,21,15,18,24,0,0,2016Grand
Azerbaijan,Lithuania,8,12,7,9,4,6,18,5,0,2016Grand
Azerbaijan,Croatia,9,8,20,14,8,11,21,0,0,2016Grand
Azerbaijan,Russia,1,1,1,1,1,1,1,12,12,2016Grand
Azerbaijan,Spain,15,10,12,15,7,10,15,1,0,2016Grand
Azerbaijan,Latvia,22,13,15,17,13,17,14,0,0,2016Grand
Azerbaijan,Ukraine,2,3,2,2,2,2,2,10,10,2016Grand
Azerbaijan,Malta,5,5,9,3,14,5,6,6,5,2016Grand
Azerbaijan,Georgia,24,24,24,22,24,24,10,0,1,2016Grand
Azerbaijan,Austria,18,18,13,13,11,15,11,0,0,2016Grand
Azerbaijan,United Kingdom,19,17,16,4,12,14,23,0,0,2016Grand
Azerbaijan,Armenia,25,25,25,25,25,25,25,0,0,2016Grand
Belarus,Belgium,10,7,7,4,9,7,18,4,0,2016Grand
Belarus,Czech Republic,22,24,17,16,19,20,25,0,0,2016Grand
Belarus,The Netherlands,12,11,6,12,18,11,21,0,0,2016Grand
Belarus,Azerbaijan,13,12,12,11,8,9,3,2,8,2016Grand
Belarus,Hungary,7,25,18,6,10,13,8,0,3,2016Grand
Belarus,Italy,23,10,23,24,17,19,19,0,0,2016Grand
Belarus,Israel,11,23,22,13,12,16,16,0,0,2016Grand
Belarus,Bulgaria,8,9,13,17,11,10,7,1,4,2016Grand
Belarus,Sweden,3,3,3,5,3,3,9,8,2,2016Grand
Belarus,Germany,25,19,24,19,21,23,20,0,0,2016Grand
Belarus,France,19,20,19,20,14,18,14,0,0,2016Grand
Belarus,Poland,16,21,5,9,22,14,5,0,6,2016Grand
Belarus,Australia,9,4,8,2,7,5,10,6,1,2016Grand
Belarus,Cyprus,14,15,14,22,23,17,11,0,0,2016Grand
Belarus,Serbia,20,22,21,21,16,22,24,0,0,2016Grand
Belarus,Lithuania,2,8,1,1,4,2,12,10,0,2016Grand
